PRODUCE,COST PER POUND,POUNDS SOLD,TOTAL
Potatoes,0.86,21.6,"=ROUND(B2*C2,2)"
,,,
,,,
,,,
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
"=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)","=ROUND(B2*C2,2)"
